StarID,HIP,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,PMRA,PMDec,RV,Mag,AbsMag,Spectrum,ColorIndex,X,Y,Z,VX,VY,VZ
32,32,224756,,,,,0.00657225,51.9394905,322.5806452,-0.39,-1.38,,9.09,1.546808469,B8,0.04,198.86852,0.34217,253.98713,1.70E-06,-6.06E-07,-1.33E-06
33,33,224743,,,,,0.00661205,-10.46245445,111.8568233,-3.62,28.71,,8.1,2.856687594,F2,0.466,109.99693,0.1904,-20.31221,2.83E-06,-1.96E-06,1.53E-05
34,34,224758,9078,,,,0.00663131,26.91823821,78.67820614,42.2,-53.47,0,6.43,1.950727753,F7.5IV-V,0.514,70.15358,0.12179,35.61908,9.20E-06,1.61E-05,-1.82E-05
35,35,224745,,,,,0.00683736,-14.49048072,167.7852349,162.25,-1.47,,9.07,2.946231299,G8/K0III/IV,0.916,162.44759,0.29078,-41.98307,-5.35E-07,0.000131969,-1.16E-06
36,36,224759,,,,,0.00688503,12.26709303,158.7301587,49.71,14.27,,7.68,1.676702747,K0,1.15,155.10574,0.27957,33.72526,-2.40E-06,3.82E-05,1.07E-05
37,37,224764,,,,,0.00702346,-47.17958382,267.3796791,-6.92,7.03,,10.44,3.304358011,F0V,0.391,181.73838,0.33416,-196.1197,6.70E-06,-8.96E-06,6.19E-06
38,38,224752,,,,,0.00740312,-79.06183133,41.94630872,162.3,-62.4,,8.65,5.536531255,G6V,0.778,7.95927,0.01542,-41.18425,-1.25E-05,3.30E-05,-2.41E-06
39,39,224763,,,,,0.00745743,-16.6969302,91.07468124,169.72,-32.54,,7.46,2.663011701,F3V,0.475,87.23461,0.17031,-26.16659,-4.27E-06,7.49E-05,-1.38E-05
40,41,224768,,,,,0.0077709,54.30223774,292.3976608,1.78,-0.47,,8.7,1.37013053,A0,0.026,170.61645,0.3471,237.45798,5.35E-07,2.52E-06,-3.88E-07
41,40,,,,,,0.00813131,67.21679125,10000000,-2.99,-3.18,,10.61,-4.39,B...,0.57,3872445.3,8243.56549,9219766.778,0,0,0
42,42,224771,,,,,0.00835911,25.84478059,156.7398119,20.7,-6.51,,8.2,2.224103394,F2,0.387,141.06209,0.3087,68.32831,2.12E-06,1.57E-05,-4.45E-06
43,43,224784,9079,,,,0.00860593,59.55973786,131.061599,-80.6,-24.07,-33,6.18,0.59262269,G9III-IV,1.032,66.40084,0.1496,112.99578,-3.80E-06,-5.12E-05,-3.68E-05
44,44,224776,,,,,0.00884815,-3.30636174,414.9377593,11.1,16.04,,7.91,-0.179914787,K2,1.104,414.24595,0.95957,-23.93148,1.81E-06,2.23E-05,3.22E-05
45,45,224766,,,,,0.00894696,-72.20271031,66.22516556,-37.2,-2.78,,9.59,5.484884736,G6/G8V:,,20.24168,0.04741,-63.05588,-8.21E-07,-1.19E-05,-2.72E-07
46,46,224778,,,,,0.00896961,-25.62225277,840.3361345,15.17,-13.39,,8.57,-1.052265193,K1III,1.035,757.69929,1.77926,-363.39157,-2.37E-05,6.17E-05,-4.92E-05
47,47,,,,,,0.00901282,-56.83524773,40.8997955,-44.21,-145.9,,10.78,7.721394317,K3V,1.15,22.3741,0.05279,-34.23726,-2.42E-05,-8.82E-06,-1.58E-05
48,48,224780,,,,,0.00901484,-40.69044664,537.6344086,4.08,-11.28,,7.31,-1.342435279,K0/K1III,1.164,407.65642,0.9621,-350.52257,-1.92E-05,1.06E-05,-2.23E-05
49,49,,,,,,0.00930004,16.66903183,628.9308176,26.66,6.95,,9.53,0.536985622,F5,0.45,602.49989,1.46693,180.40426,-6.28E-06,8.13E-05,2.03E-05
50,50,224782,,,,,0.0095247,-53.09766277,59.20663114,52.98,-20.52,,6.49,2.628148248,G1IV,0.616,35.55067,0.08864,-47.34518,-4.75E-06,1.52E-05,-3.54E-06
51,51,224774,,,,,0.00955936,1.06619726,2439.02439,10.19,6.33,,8.94,-2.996080716,K0,0.906,2438.59447,6.10292,45.38433,-1.69E-06,0.000120479,7.48E-05
52,52,224767,,,,,0.00977725,-77.0201405,253.164557,21.46,9.91,,8.56,1.542985478,A4V,0.196,56.86273,0.14555,-246.69596,1.18E-05,2.64E-05,2.73E-06
53,53,,,,,,0.00982601,-29.26338247,10000000,11.94,-12.96,,10.96,-4.04,,,8723789.707,22441.50475,-4888250.149,0,0,0
54,54,,,,,,0.01011037,17.96895579,47.68717215,367.14,-19.49,,10.57,7.177992152,M:,1.03,45.36101,0.12006,14.71157,1.17E-06,8.49E-05,-4.29E-06
55,55,224783,,,,,0.01052221,-66.68310336,68.21282401,162.88,-28.82,,7.4,3.230669852,G2IV/V,0.551,26.99964,0.07437,-62.64186,-8.90E-06,5.38E-05,-3.77E-06
56,56,224785,,,,,0.01085545,0.22293899,288.184438,39.02,-3.09,,8.12,0.821647374,K0,1.329,288.18109,0.81899,1.12132,-1.38E-07,5.45E-05,-4.32E-06
57,57,224789,,,,,0.01121903,-69.67580068,29.50722927,-40.97,-67.59,,8.27,5.920357844,K2V,0.863,10.24875,0.0301,-27.67017,-9.05E-06,-5.89E-06,-3.36E-06
58,58,224792,,,,,0.01158422,62.17600484,38.37298542,-46.95,-43.9,,7.05,4.129872057,G0,0.52,17.91077,0.05431,33.93651,7.25E-06,-8.71E-06,-3.81E-06
59,59,236270,,,,,0.01162983,55.72246267,10000000,-0.27,-1.02,,9.09,-5.91,B5,0.091,5631995.263,17147.68967,8263191.594,0,0,0
60,60,224788,,,,,0.01169487,-64.46582516,161.8122977,1.75,10.74,,8.34,2.294942375,F2IV,0.386,69.74876,0.21355,-146.00782,7.60E-06,1.40E-06,3.63E-06
61,61,236269,,,,,0.01174381,53.82218625,178.5714286,32.68,-16.7,,8.86,2.600940135,K5,1.081,105.40899,0.32408,144.14088,1.16E-05,2.83E-05,-8.53E-06
62,62,224800,,,,,0.01199741,-45.42272731,189.3939394,4.02,-4.78,,8.27,1.883169613,G8III,0.994,132.92937,0.41752,-134.90615,-3.14E-06,3.68E-06,-3.08E-06
63,63,224801,9080,,,,0.01211663,45.25333305,207.9002079,17.38,0.22,-3,6.36,-0.229274618,B9p SiEu,-0.047,146.35548,0.46425,147.6562,-2.37E-06,1.75E-05,-2.02E-06
64,64,224798,,,,,0.01230592,-27.90754614,289.8550725,-5.93,-14.59,,8.08,0.769095475,K2III,1.156,256.14475,0.82521,-135.66556,-9.57E-06,-8.36E-06,-1.81E-05
65,65,,,,,,0.01253168,-54.83034057,58.89281508,-205.14,-75.34,,11,7.14968843,,1.147,33.92205,0.11129,-48.14193,-1.74E-05,-5.86E-05,-1.24E-05
66,66,224790,,,,,0.01256994,-72.31824913,122.2493888,-15.61,11.88,,8.55,3.113766518,F2V,0.401,37.13055,0.12218,-116.47411,6.74E-06,-9.23E-06,2.14E-06
67,67,224806,,,,,0.01327342,23.53824873,133.6898396,91.05,-12.35,,7.83,2.199507989,F5,0.495,122.56525,0.42591,53.39053,2.99E-06,5.90E-05,-7.34E-06
